experiment,bend_deg,jacobian_contact,plant_contact,controller,solver,frame,stage,stage_1based,applied_stage,progress,lin_nl_error_m,tracking_linear_error_m,tracking_nonlinear_error_m,applied_linear_error_m,applied_nonlinear_error_m,applied_tracking_error_m,B_drift_relative,B_change_from_stage0_relative
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,12,13,False,0.017777777777778503,,0.004263920427436628,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,13,14,False,0.017777777777778503,,0.004633652782338466,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,14,15,False,0.017777777777778503,,0.0049996237893451525,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,0,1,True,0.01858585858585937,,0.0006640416204007996,,1.105096879805359e-06,,0.0006645639535938536,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,1,2,True,0.01858585858585937,,0.0009388551104843905,,2.429570848675148e-06,,0.0009397160028015121,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,2,3,True,0.01858585858585937,,0.001222667585247587,,3.97523123868035e-06,,0.001223813753174993,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,3,4,True,0.01858585858585937,,0.0015104147080262198,,5.743869175115764e-06,,0.0015118341841474311,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,4,5,True,0.01858585858585937,,0.0018002105546115683,,7.73726121273099e-06,,0.0018019072963199778,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,5,6,True,0.01858585858585937,,0.0020911800903399484,,9.957169786615109e-06,,0.002093165359407537,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,6,7,True,0.01858585858585937,,0.002382700901350548,,1.2405335826026048e-05,,0.0023849897817417674,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,7,8,True,0.01858585858585937,,0.002674136074387319,,1.5083491367454039e-05,,0.002676746062493956,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,8,9,True,0.01858585858585937,,0.0029646304113162664,,1.7993348935303447e-05,,0.0029675806987527727,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,9,10,True,0.01858585858585937,,0.003253522644512534,,2.1136607689145114e-05,,0.0032568336322895755,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,10,11,False,0.01858585858585937,,0.003540111224330633,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,11,12,False,0.01858585858585937,,0.0038240128552988455,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,12,13,False,0.01858585858585937,,0.004105464575253218,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,13,14,False,0.01858585858585937,,0.004384635469684511,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,5,14,15,False,0.01858585858585937,,0.004662919463857932,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,6,0,1,True,0.01939393939394013,,0.0005484577730825905,,2.2524952383345274e-08,,0.0005484755392103702,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,6,1,2,True,0.01939393939394013,,0.0008299566467795949,,9.060096123305926e-08,,0.0008300067397724495,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,6,2,3,True,0.01939393939394013,,0.0011530454662065182,,2.0436878872430321e-07,,0.001153131488500383,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,6,3,4,True,0.01939393939394013,,0.0014909058927467646,,3.6397086823867067e-07,,0.0014910308704570838,0.0,0.0
