N_sqp,Np,bend_angle_deg,error,final_i_ref,final_infeasible,final_status,final_tip,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,rollout_steps,run_name,solver_mode,success
5,10,-30.0,,40,0,solved,"[0.7556695610952066, -0.7019673292958504, -0.10002756359242586]",contact,run_experiment_3_extra/bend_m30_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp5/log.csv,13504.78293254997,10398.225826048696,1.0,5,0,True,5,bend_m30_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp5,lti,True
5,10,-30.0,,45,0,solved,"[0.7547871612680055, -0.7014504105104573, -0.10002673693637136]",contact,run_experiment_3_extra/bend_m30_jac_contact_plant_contact_1_lti_rollout10_Np10_sqp5/log.csv,14899.270974705389,11266.665356023334,1.0,4,0,True,10,bend_m30_jac_contact_plant_contact_1_lti_rollout10_Np10_sqp5,lti,True
5,10,-30.0,,40,0,solved,"[0.7573952981200678, -0.70295476088574, -0.10002422005237642]",contact,run_experiment_3_extra/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp5/log.csv,13504.78293254997,10237.193116670273,1.0,7,0,True,3,bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp5,ltv_oneshot,True
5,10,-30.0,,40,0,solved,"[0.7556709796070863, -0.7019600420043131, -0.10002456696610768]",contact,run_experiment_3_extra/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp5/log.csv,13504.78293254997,9701.638417522101,1.0,5,0,True,5,bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp5,ltv_oneshot,True
5,10,-30.0,,45,0,solved,"[0.754781957243101, -0.7014442877746269, -0.10001887481690994]",contact,run_experiment_3_extra/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp5/log.csv,13504.78293254997,9748.66347821907,1.0,4,0,True,10,bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp5,ltv_oneshot,True
5,10,-30.0,,42,0,solved,"[0.7556506363688772, -0.7019404602047471, -0.1000240542104384]",contact,run_experiment_3_extra/bend_m30_jac_contact_plant_contact_1_sqp_full_rollout3_Np10_sqp5/log.csv,15634.935016213369,13260.717396431919,5.0,7,0,True,3,bend_m30_jac_contact_plant_contact_1_sqp_full_rollout3_Np10_sqp5,sqp_full,True
5,10,-30.0,,43,0,solved,"[0.7552586951059559, -0.701408988798381, -0.10001703335883219]",contact,run_experiment_3_extra/bend_m30_jac_contact_plant_contact_1_sqp_full_rollout5_Np10_sqp5/log.csv,13504.78293254997,11043.966753373164,5.0,5,0,True,5,bend_m30_jac_contact_plant_contact_1_sqp_full_rollout5_Np10_sqp5,sqp_full,True
5,10,-30.0,,45,0,solved,"[0.7550378849353576, -0.701036215282682, -0.10002707163107463]",contact,run_experiment_3_extra/bend_m30_jac_contact_plant_contact_1_sqp_full_rollout10_Np10_sqp5/log.csv,13504.78293254997,10518.562851104023,5.0,4,0,True,10,bend_m30_jac_contact_plant_contact_1_sqp_full_rollout10_Np10_sqp5,sqp_full,True
5,10,-60.0,,25,0,solved,"[0.7737720533022163, -0.7099488760369125, -0.10001551178543813]",no_contact,run_experiment_3_extra/bend_m60_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp5/log.csv,315229861.9301292,191077020.58730614,1.0,100,0,True,3,bend_m60_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp5,lti,True
5,10,-60.0,,42,0,solved,"[0.7644615778079492, -0.6946358645025253, -0.10002720482070533]",no_contact,run_experiment_3_extra/bend_m60_jac_no_contact_plant_contact_1_lti_rollout5_Np10_sqp5/log.csv,645143.0737276603,108415.52063156512,1.0,15,0,True,5,bend_m60_jac_no_contact_plant_contact_1_lti_rollout5_Np10_sqp5,lti,True
5,10,-60.0,,41,0,solved,"[0.7643175474424271, -0.6943976790929768, -0.10003646868406206]",no_contact,run_experiment_3_extra/bend_m60_jac_no_contact_plant_contact_1_lti_rollout10_Np10_sqp5/log.csv,13504.732529505656,8355.67254690204,1.0,5,0,True,10,bend_m60_jac_no_contact_plant_contact_1_lti_rollout10_Np10_sqp5,lti,True
5,10,-60.0,,25,0,solved,"[0.7737720437193871, -0.7099488760122367, -0.10001551179137931]",no_contact,run_experiment_3_extra/bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp5/log.csv,314579572.2134192,190920615.75297406,1.0,100,0,True,3,bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp5,ltv_oneshot,True
5,10,-60.0,,40,0,solved,"[0.764571153290909, -0.6948259932684119, -0.1000271156715361]",no_contact,run_experiment_3_extra/bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp5/log.csv,623155.991454011,118990.05091748657,1.0,15,0,True,5,bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp5,ltv_oneshot,True
5,10,-60.0,,41,0,solved,"[0.7643442855585936, -0.6944297127143043, -0.10002714341351604]",no_contact,run_experiment_3_extra/bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp5/log.csv,70714.53750901762,15506.664673340125,1.0,9,0,True,10,bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp5,ltv_oneshot,True
5,10,-60.0,,41,0,solved,"[0.766046687373154, -0.6911542268324035, -0.10000939039806604]",no_contact,run_experiment_3_extra/bend_m60_jac_no_contact_plant_contact_1_sqp_full_rollout3_Np10_sqp5/log.csv,97801.28162159119,26648.739797383314,5.0,7,0,True,3,bend_m60_jac_no_contact_plant_contact_1_sqp_full_rollout3_Np10_sqp5,sqp_full,True
