N_sqp,Np,bend_angle_deg,error,final_i_ref,final_infeasible,final_status,final_tip,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,rollout_steps,run_name,solver_mode,success
5,12,-60.0,,44,0,solved,"[0.7619238929400104, -0.6890629571521113, -0.09998875286764836]",contact,runs_curvature_jacobian/bend_m60_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np12_sqp5/log.csv,241167396457744.1,210496085553803.72,1.0,4,0,True,10,bend_m60_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np12_sqp5,ltv_oneshot,True
5,12,-60.0,,40,0,solved,"[0.7648625432451248, -0.695331162562372, -0.10002658273752801]",contact,runs_curvature_jacobian/bend_m60_jac_contact_plant_contact_1_sqp_full_rollout1_Np12_sqp5/log.csv,341834213947886.2,214842973615732.8,5.0,27,0,True,1,bend_m60_jac_contact_plant_contact_1_sqp_full_rollout1_Np12_sqp5,sqp_full,True
5,12,-60.0,,40,0,solved,"[0.7628316785903024, -0.6918233120456474, -0.10002756940942101]",contact,runs_curvature_jacobian/bend_m60_jac_contact_plant_contact_1_sqp_full_rollout5_Np12_sqp5/log.csv,338621672913684.1,231740983066304.5,5.0,6,0,True,5,bend_m60_jac_contact_plant_contact_1_sqp_full_rollout5_Np12_sqp5,sqp_full,True
5,12,-60.0,,45,0,solved,"[0.7623401969366959, -0.6909764127569411, -0.10002728105448992]",contact,runs_curvature_jacobian/bend_m60_jac_contact_plant_contact_1_sqp_full_rollout10_Np12_sqp5/log.csv,316221878463838.44,239264242218034.62,5.0,4,0,True,10,bend_m60_jac_contact_plant_contact_1_sqp_full_rollout10_Np12_sqp5,sqp_full,True
5,12,-60.0,,24,1,maximum iterations reached,"[0.7753962859739646, -0.7100266232781047, -0.10001457376868124]",no_contact,runs_curvature_jacobian/bend_m60_jac_no_contact_plant_contact_1_lti_rollout1_Np12_sqp5/log.csv,228486068512220.84,204369427783404.44,0.9876543209876543,81,1,True,1,bend_m60_jac_no_contact_plant_contact_1_lti_rollout1_Np12_sqp5,lti,True
5,12,-60.0,,40,0,solved,"[0.7650101192264934, -0.6955828059063393, -0.10010289345043949]",no_contact,runs_curvature_jacobian/bend_m60_jac_no_contact_plant_contact_1_lti_rollout5_Np12_sqp5/log.csv,200000020055524.66,197980394696447.8,1.0,10,0,True,5,bend_m60_jac_no_contact_plant_contact_1_lti_rollout5_Np12_sqp5,lti,True
5,12,-60.0,,43,0,solved,"[0.7638294015836248, -0.693584876774326, -0.10002521094934928]",no_contact,runs_curvature_jacobian/bend_m60_jac_no_contact_plant_contact_1_lti_rollout10_Np12_sqp5/log.csv,200559076983623.03,200110862139723.25,1.0,5,0,True,10,bend_m60_jac_no_contact_plant_contact_1_lti_rollout10_Np12_sqp5,lti,True
5,12,-60.0,,24,1,maximum iterations reached,"[0.7756506744856161, -0.7103114769166508, -0.10001468999402378]",no_contact,runs_curvature_jacobian/bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout1_Np12_sqp5/log.csv,230972139210559.56,205637106496920.5,0.9833333333333333,60,1,True,1,bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout1_Np12_sqp5,ltv_oneshot,True
5,12,-60.0,,40,0,solved,"[0.7638691043289624, -0.6936006762906907, -0.10003092002904312]",no_contact,runs_curvature_jacobian/bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np12_sqp5/log.csv,352991982499215.2,230482973427174.9,1.0,19,0,True,5,bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np12_sqp5,ltv_oneshot,True
5,12,-60.0,,43,0,solved,"[0.7639961266387288, -0.6938744673047762, -0.10002515608252985]",no_contact,runs_curvature_jacobian/bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np12_sqp5/log.csv,200519800575765.56,200102029547675.7,1.0,5,0,True,10,bend_m60_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np12_sqp5,ltv_oneshot,True
5,12,-60.0,,41,1,primal infeasible,"[0.767261331564414, -0.6946317140655098, -0.100017792097157]",no_contact,runs_curvature_jacobian/bend_m60_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np12_sqp5/log.csv,231992795364609.47,208905876646144.53,4.76,25,1,True,1,bend_m60_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np12_sqp5,sqp_full,True
5,12,-60.0,,40,0,solved,"[0.7654413259036297, -0.6963313285073276, -0.10002592913600747]",no_contact,runs_curvature_jacobian/bend_m60_jac_no_contact_plant_contact_1_sqp_full_rollout5_Np12_sqp5/log.csv,231455221112438.53,202562758675947.75,4.888888888888889,27,0,True,5,bend_m60_jac_no_contact_plant_contact_1_sqp_full_rollout5_Np12_sqp5,sqp_full,True
