k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
25,59,0.41709366847603935,0.031883905078928174,-0.033530475024753946,1.0288528669052942e-17,-0.5202181442731645,-3.8499519579225048,0.10208944169964773,0.7811765143269938,-0.8293250264903604,-0.09,0.01590729913486453,-0.778010640593424,-0.6238708984147288,0.07232913015406284,0.05802270456051831,0.8071359481017609,-0.722502068349641,-0.09741003539523581,-0.6340221092643339,-0.771080762165935,0.058740292718553605,solved,0,nan,38.33136235992145,59,0.9289557705028619,0.0023023947396798136,0.0026976052603201865
26,60,0.27359629482025344,-0.13280107082779036,-0.0015882910400153963,-8.851092126372392e-16,-0.425882772562418,-3.222707829295919,0.10162433824907739,0.7839124772751963,-0.8306530371986384,-0.09,0.015742204088963076,-0.7677015378208761,-0.636358317620535,0.07371989848776049,0.05903894794300908,0.8064160567075274,-0.7232152289300906,-0.09732109130152741,-0.6409206551260468,-0.7653120228588912,0.05931458782185145,solved,0,nan,39.03704945908468,60,0.6941949066074107,0.002988375870093473,0.002011624129906527
27,61,-0.2654005410243675,-0.04959672471101959,1.000291320209757,-1.203934609570214e-15,-0.3716510169194268,-2.740639247010878,0.1001249953388667,0.7812584718649527,-0.8311490044457486,-0.09,0.015568386564690055,-0.7587712839513392,-0.6468463546015408,0.07492367802841941,0.06004019789639775,0.8056903849303403,-0.7239115238728099,-0.09723720703678146,-0.6494509767154303,-0.7580504181449083,0.059774503276240294,solved,0,nan,39.644547875786834,61,0.4195688159779937,0.0036957291471632074,0.0013042708528367927
28,63,0.36533038444996185,-0.2906680843932612,-0.0352215145373632,-5.118176434690077e-12,-0.3033627005527591,-2.2179253761700037,0.100089934531619,0.7849117757094523,-0.8340556852896812,-0.09,0.015417144853482424,-0.7514369769891169,-0.6552437649703994,0.07589723134238875,0.06104109724171394,0.8067085761860119,-0.7257977818113612,-0.09710966056072481,-0.5410066500170188,-0.8390124712184508,0.05805063862436478,solved,0,nan,32.25769275522026,63,0.2261972017925236,0.0027871611889724456,0.0022128388110275545
29,64,0.13058768063694476,-0.06646230211795867,-0.33151875749657395,9.678551464958958e-16,-0.2555428028247585,-1.8434624877345023,0.10002238669532264,0.7862176525158217,-0.8347203083108607,-0.09,0.01527883370203028,-0.7452679703338349,-0.6621612237914896,0.07671195045199272,0.06204132110866717,0.8060606606039576,-0.7265222874392268,-0.09706815121051636,-0.5532760149058248,-0.8309852905249494,0.0578713845271697,solved,0,nan,32.757225486554894,64,0.014072851013134297,0.0033041802320432174,0.0016958197679567827
30,64,0.08629297184938983,-0.13753965808775526,-0.988561375541133,-4.746637162032135e-17,-0.20613245113479664,-1.5225588443742952,0.10000083164363678,0.7870805822343155,-0.8360957048917383,-0.09,0.015179911530745037,-0.7401260678493888,-0.6678309475907193,0.07736148535157979,0.06304132942510354,0.8054270531862161,-0.7272661971317845,-0.09702340659128181,-0.5658553936874466,-0.8224780582139838,0.057771239343949156,solved,0,nan,33.61678052661352,64,0.7740780670900786,0.003920339732346705,0.001079660267653295
31,66,0.20441318484057214,-0.14303563644218725,-0.03183775286668817,-4.488164363463967e-13,0.156547075867242,-1.0341600209614992,0.09992806404282212,0.7891247140827212,-0.8375260612561602,-0.09,0.01610245542753692,-0.7367232954071671,-0.6716369597786835,0.07670261529345246,0.06404061006553176,0.8064346306915539,-0.7289296309068188,-0.09694108622366097,-0.46996816357770677,-0.8807124749561451,0.05895303725306965,solved,0,nan,27.64625668869635,66,0.36022001517764013,0.0030264095216674856,0.0019735904783325145
32,67,0.10014195709682219,-0.08094096371789107,-0.031574769876374614,-2.81500025811192e-15,0.05625381010436225,-0.9900917804570671,0.10014112744978476,0.7901261336536894,-0.8383354708933392,-0.09,0.016670878983842487,-0.7334109152701063,-0.6752712776579199,0.07641474155430755,0.06504202134002961,0.8058357624785523,-0.7296937040122012,-0.09690018417957601,-0.4863371861891566,-0.8717708677572924,0.05909056098468469,solved,0,nan,28.270354841382723,67,0.19341257862490932,0.0034846721050992824,0.0015153278949007177
33,68,0.038603128436240815,-0.09296745888957986,0.058494540362675075,-3.3236088706860134e-15,0.287711751554666,-0.696773548167287,0.1003981678393821,0.7905121649380519,-0.839265145482235,-0.09,0.017908393897082667,-0.7311630821556367,-0.6777975995427596,0.07530106755398222,0.06604600301842342,0.8053226566603778,-0.7305027235464535,-0.0968843603275381,-0.4992101453110673,-0.8645059779388446,0.058469170346661874,solved,0,nan,29.10514162469024,68,0.01390635447717007,0.003976286640713636,0.0010237133592863644
34,69,-0.23325008479858017,-0.0659911710957661,-0.0508385516072162,2.364879167451006e-13,0.17367437033817734,-0.6878183232504249,0.04692141535425454,0.7881796640900661,-0.8399250571931927,-0.09,0.01875582709016363,-0.7288928686613912,-0.6802923161594723,0.07460408527093212,0.06651521717196597,0.8060067656498908,-0.7319531505692849,-0.09684254649981477,-0.4095600435380659,-0.9103496126531374,0.059364572345759474,solved,0,nan,22.236427044667938,69,0.6014371470858728,0.002931456751701208,0.002068543248298792
