k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
56,58,0.24361769524718177,-0.885256582952695,-0.05235784193269747,4.0073586686926755e-18,-0.4105117875980542,-1.570810575711003,0.05880061299799931,0.7224889342898232,-0.801512097095664,-0.09,0.02337439644559779,-0.9643226976790237,-0.2611103842097158,0.03683394615988229,0.05891280373719725,0.8009656407463244,-0.7114224556753237,-0.09743860254014945,-0.9014075391637582,-0.42890535025755944,0.05920007482409192,solved,0,5.8723255173529876e-05,32.75509471928047,58,1.0,0.0007673459173499309,0.0019326540826500693
57,59,0.5226745785147153,-0.6309960477645152,-0.07088235134697439,1.1345224638534365e-16,-0.3927234936193466,-1.5708102907205774,0.06155676943735411,0.7277156800749703,-0.8078220575733092,-0.09,0.023150207685851045,-0.96216801709134,-0.2687214826422919,0.038542697585267446,0.05952837143157079,0.8004109694737891,-0.7116168567243885,-0.0974288398273381,-0.9036235021392081,-0.4243077874473379,0.058544580391503676,solved,0,1.490370273062505e-05,36.91603739707494,59,0.41482823974911115,0.0011599220056748667,0.0015400779943251335
58,59,1.0000026908489215,1.0000041649101752,0.039607428024122725,3.4947128935836116e-17,-0.2724514007058092,0.15918585581407818,0.10037810724410465,0.7377157069834596,-0.7978220159242074,-0.09,0.022753434053926765,-0.9623281977236715,-0.26798686732621324,0.039871795110658616,0.06053215250401184,0.7998387827836714,-0.7118655761659299,-0.09739182124590715,-0.90575842985711,-0.41974019584235045,0.05847935308301545,solved,0,0.00022981050206877625,37.20014596614825,59,0.8946662868066669,0.0015501565273719825,0.0011498434726280177
59,61,-0.09002616967444627,-1.0000046230235737,0.03785413500591636,-6.664643239459474e-16,-0.4748061458406268,-1.5708115595027758,0.07212522093557493,0.736815445286715,-0.8078220621544432,-0.09,0.02242961810208904,-0.9600963883243679,-0.27558995986325346,0.04197631928682247,0.061253404713367585,0.7997697546194183,-0.7134766855624399,-0.09737754779101707,-0.8277278391159457,-0.55900381780036,0.04879913971648191,solved,0,0.00014225335230999594,35.002333990404935,61,0.3324945725709786,0.0008182658891302038,0.0018817341108697963
60,61,0.980254398137606,-0.9170867328972895,-0.37969317949710435,-2.3559887876541055e-13,-0.43522036864651015,-1.5707916284662586,0.10124975406380989,0.7466179892680911,-0.8169929294834161,-0.09,0.022158844641977947,-0.957808711879331,-0.2831700895263307,0.043888010319893894,0.06226590225400568,0.7991112733775525,-0.7137566936514973,-0.09746755043127035,-0.8320842397045087,-0.5527025779278006,0.046429283726254246,solved,0,0.0001636362200493903,36.53773477507395,61,0.7234049938043564,0.0014794987721024233,0.0012205012278975768
61,62,0.4255678997304974,-0.7723229141685433,-0.06603696527162332,3.0940692786079156e-15,-0.4424214472883377,-1.5708123387486894,0.014628454102984105,0.750873668265396,-0.8247161586251015,-0.09,0.021876406643845665,-0.9554557321645238,-0.29073228532277057,0.04583126637248901,0.062412186795035525,0.7990068743570024,-0.7150362441076346,-0.09735493499927503,-0.7659585292206803,-0.64124899873493,0.04590482693074899,solved,0,0.0005774528463463059,34.392473488474394,62,0.8700295354628823,0.0012883605895598945,0.0014116394104401056
62,62,0.390647608024443,-0.3526076294394627,-0.06949481551539259,-7.613299686436747e-16,-0.4173550798856654,-1.57079650095285,0.10168987110050881,0.7547801443456404,-0.8282422349194961,-0.09,0.021628951991590355,-0.9530451636896686,-0.2982723860975533,0.047651737587944935,0.06342908550604061,0.7987805841064799,-0.7149375432462413,-0.09744933661567182,-0.7814172123324362,-0.6224265445629541,0.04441099969630607,solved,0,0.00045279024211071224,35.369129258746504,62,0.8500347129985734,0.0014453232396893123,0.0012546767603106878
63,64,0.47368206185646156,-0.30418161079806494,-0.06876089802453426,-1.4552563468559666e-15,-0.4173722005195772,-1.5708122053141036,0.04312391660038247,0.7595169649642051,-0.8312840510274767,-0.09,0.021380047170026374,-0.950571628513383,-0.3057928656162355,0.04946914176164425,0.06386032467204443,0.7983558496000066,-0.7158679273855478,-0.09741012754895682,-0.748769144401691,-0.6613549873119857,0.04420802132557832,solved,0,0.00033238276484132465,35.608340226352965,63,0.7784852714401452,0.0016301841595517984,0.0010698158404482017
64,64,0.36074591060618005,-0.17444973799033708,-0.0714139052187863,7.65198195171328e-17,-0.3938199366593733,-1.5708119532966063,0.05647304646578898,0.7631244240702668,-0.83302854840738,-0.09,0.021165745592579034,-0.9480413694250744,-0.3132907050148731,0.05117135158879296,0.06442505513670232,0.7980899718135733,-0.716134344401964,-0.09721559505207646,-0.7436016629816432,-0.6669322382900924,0.04751795808220407,solved,0,6.923778947537251e-05,35.242305967804924,63,1.0,0.0018607950721062105,0.0008392049278937897
65,64,0.4238279635144112,-0.20731202530335002,-0.0692776590188876,-5.5390537099417653e-17,-0.38575786778660653,-1.5708119051329013,0.00014395070589433255,0.7673627037054109,-0.8351016686604136,-0.09,0.020962686683501097,-0.9454510908655815,-0.3207671754484982,0.052831995068176166,0.06442649464376127,0.7981162320696686,-0.7170231604893703,-0.0972201396775726,-0.6999097232364483,-0.7128029346699012,0.04514815217763607,solved,0,0.0003698432772684963,34.519408971683575,64,0.8745200445071489,0.001671814151335043,0.0010281858486649571
66,64,0.3177781742252671,-0.11248820994515972,-0.07234640439400598,-3.1190599286499883e-15,-0.3638860841171855,-1.5708121534533512,-0.0031065277722484995,0.7705404854476636,-0.8362265507598652,-0.09,0.020793339405454102,-0.9428049447852864,-0.32822044073441686,0.05438580153760439,0.06439542936603879,0.7979510562500526,-0.7167575333646063,-0.09739450580652735,-0.7251106858938839,-0.6873179914041428,0.04252613190352335,solved,0,3.463363362579315e-05,36.573602317590506,64,0.6646179549101806,0.001882666537269012,0.0008173334627309882
