k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
20,56,0.5380969663961331,-0.23924706874363003,0.08056083157470971,-0.04395231452081525,-0.9437732744629412,-6.283305707202092,0.09999982863423475,0.78256996415032,-0.8158113045526386,-0.09,0.020628779140888568,-0.7882660816299311,-0.6071543741267772,0.09784990547605388,0.053000640333337644,0.809298760576912,-0.7189306089340324,-0.09741982644814072,-0.716375241222072,-0.6942941586969954,0.06900821458526565,solved,0,0.00013756584427738832,38.05935946427217,55,0.564079257517815,0.00017184262498402852,0.004828157375015972
21,57,0.2508194457596908,-0.21132153714140617,0.46030823497052437,0.006498954350490295,-0.10285784802687403,-6.088127623244363,0.09992489700166449,0.7850781586079169,-0.8179245199240527,-0.09,0.02331077877415024,-0.7693704915814303,-0.6308720550074021,0.09760176477619902,0.05399988930335429,0.8087222107328453,-0.7198020424006926,-0.09739217350155878,-0.6845273585844762,-0.7259298479274494,0.06669445237895145,solved,0,0.0013092694239335869,40.69871292812836,56,0.3278228310218,0.000438102484157701,0.004561897515842299
22,59,0.9998758435997336,-0.41910714302188207,0.2972575790289621,-0.01804476954879807,-0.1517296918605726,-4.708744122659844,0.09998602271744304,0.7950769170439141,-0.8221155913542715,-0.09,0.025054032783605337,-0.7542334058828412,-0.6488356876477632,0.09755262849509264,0.05499974953052872,0.8096235741398753,-0.7223822511655235,-0.09727713873644948,-0.5849351410470895,-0.8084011759073478,0.0658666708090633,solved,0,0.0015305999771608012,36.93394683251367,57,0.6911459702142766,0.00021762165441672747,0.004782378345583272
23,59,0.3661822925307525,-0.12262462786880858,0.28715630839347195,0.0037329394225535852,0.4494176376473551,-3.126424812374385,0.10022418197290407,0.7987387399692216,-0.8233418376329595,-0.09,0.028047807204949725,-0.7442158242979617,-0.6604864383586494,0.09546618312159179,0.05600199135025776,0.8090941378883746,-0.7223434918889222,-0.09730695045852508,-0.5438841073858945,-0.8363054007139185,0.06916179043040045,solved,0,0.00025328365485860526,35.082768950730475,58,0.5451996776841858,0.0005932190805764341,0.004406780919423566
24,60,0.421671909158708,-0.1135810978251119,0.08229371400985509,-0.006132499074742528,0.23748536890799268,-2.460605600439811,0.09953778154514716,0.8029554590608087,-0.8244776486112106,-0.09,0.02998159836702876,-0.7361474160555741,-0.6695614842296562,0.09420989560677552,0.05699736916570923,0.8088856307495786,-0.7232812716164182,-0.09729622042738681,-0.5399544612586562,-0.8387236846872745,0.07065238367130944,solved,0,0.0021093252964330526,30.849084590712696,59,0.8669391968634217,0.0005365919073494024,0.004463408092650598
25,63,0.017422194303759127,-0.1336039587562973,0.014176462257565157,0.0010116721826193109,0.8098097996847166,-1.4880976926187701,0.09930774455093964,0.8031296810038463,-0.8258136881987737,-0.09,0.03339626044596995,-0.7315205041760022,-0.6748928207505228,0.09100616604227994,0.057990446611218625,0.808660143580173,-0.7244142775225868,-0.09687700441194617,-0.47786704275781483,-0.8747548864896737,0.08029306841647076,solved,0,0.000624445469913299,18.391812058252707,63,0.5323736694273679,0.0028725786265845466,0.0021274213734154535
26,63,-0.0031095253029674625,-0.07736615051575792,0.005551674626959636,-0.0001469352558792302,0.340810390210354,-1.3713643129456081,0.10000662817824857,0.8030985857508166,-0.8265873497039312,-0.09,0.03516894016556492,-0.727029766909076,-0.679834997771019,0.08952786985874489,0.05899051289300111,0.8086894524976919,-0.7256287672275362,-0.09704882983536639,-0.40546731582843687,-0.9114140094419004,0.07014811497962262,solved,0,0.00023284867286002667,27.888584574317807,63,0.47748740120391514,0.0004493495659218028,0.004550650434078198
27,63,0.040088568473887976,-0.08787304783733181,-0.002504889257485774,-0.0006228470958915014,0.5868877399758708,-0.8480775502996857,0.09930749373236418,0.8034994714355554,-0.8274660801823045,-0.09,0.037540764917288236,-0.7244001715893614,-0.68280591138651,0.08724201823872474,0.05998358783032475,0.8084403948618969,-0.7264307040608449,-0.09706791799589784,-0.4319375067151948,-0.8993563692473158,0.06773559074300198,solved,0,5.208949463898352e-06,25.713354841650546,62,0.8064286598571174,0.0013770828322922975,0.0036229171677077026
28,64,0.1704588952541828,-0.0857735134380386,-0.08281668941621705,0.00014480795749667887,0.4061077498244785,-0.7058361351663589,0.10002161715020515,0.8052040603880972,-0.8283238153166849,-0.09,0.03923533025610596,-0.7221615488291895,-0.6852804926359642,0.08563838312889012,0.060983804001826805,0.8082326325024228,-0.7273147171865232,-0.09685073740978478,-0.43222452203866163,-0.898616686818056,0.07529947945065904,solved,0,4.139299032934102e-05,27.077681071929025,63,0.7306592373785731,0.00116714958278366,0.00383285041721634
29,67,0.005017960958428856,-0.16453107184940532,0.00504458906245001,-0.00015481660815111706,0.33339804836971465,-0.5409497283540333,-0.0020520032958424817,0.8052542399976815,-0.8299691260351789,-0.09,0.040608557096231054,-0.7204471840112052,-0.6871649575198698,0.08432746466959813,0.06096328396886838,0.8113738040506889,-0.7300499561614475,-0.0967396915571221,-0.2702360225402772,-0.9598900876908859,0.07472289180009514,solved,0,0.001531167708781693,14.933047259362702,67,0.4838215808715561,0.002162075871154991,0.0028379241288450092
